,Loan_Amount_Term,Credit_History,TotalIncome,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Self_Employed_No,Self_Employed_Yes,property_Area_Rural,property_Area_Semiurban,property_Area_Urban,Loan_Status_Y
310,300.0,1.0,3414.0,0,1,0,0,1,0,1,0,0,0,1,1
170,360.0,1.0,3677.0,0,1,1,0,0,0,1,0,0,0,1,1
65,360.0,1.0,8649.0,1,0,1,0,0,0,1,0,0,1,0,1
48,360.0,1.0,2395.0,0,1,0,1,0,0,0,1,0,1,0,1
18,360.0,1.0,5833.0,1,0,0,0,1,0,1,0,0,1,0,1
15,360.0,1.0,9560.0,0,1,1,0,0,0,0,1,0,1,0,1
224,360.0,0.0,4917.0,1,0,1,0,0,0,1,0,1,0,0,1
13,360.0,1.0,6100.0,0,1,1,0,0,0,1,0,0,0,1,1
410,360.0,1.0,5780.0,0,1,0,0,1,0,1,0,0,0,1,1
157,360.0,1.0,8333.0,1,0,1,0,0,0,1,0,0,1,0,1
388,360.0,1.0,19484.0,0,1,0,1,0,0,0,1,0,1,0,1
32,360.0,1.0,3572.0,0,1,1,0,0,0,1,0,0,1,0,1
17,360.0,1.0,5266.0,0,1,0,0,1,0,1,0,0,0,1,1
100,360.0,1.0,2963.0,0,1,0,1,0,0,1,0,0,0,1,1
57,360.0,1.0,5093.0,0,1,0,0,1,0,1,0,0,0,1,1
156,360.0,1.0,5787.0,1,0,1,0,0,0,1,0,1,0,0,1
301,360.0,1.0,3338.0,0,1,1,0,0,0,1,0,0,0,1,1
336,360.0,1.0,6666.0,0,1,0,0,1,0,0,1,0,1,0,1
86,360.0,1.0,23803.0,0,1,0,0,0,1,1,0,1,0,0,1
236,360.0,1.0,5783.0,0,1,0,1,0,0,1,0,0,0,1,1
365,360.0,1.0,6783.0,1,0,1,0,0,0,1,0,0,1,0,1
377,360.0,1.0,4718.0,0,1,1,0,0,0,1,0,1,0,0,1
277,360.0,1.0,5568.0,1,0,1,0,0,0,1,0,1,0,0,1
171,360.0,1.0,4750.0,1,0,1,0,0,0,0,1,1,0,0,1
69,360.0,1.0,4082.0,0,1,0,1,0,0,1,0,0,0,1,1
205,360.0,1.0,4625.0,0,1,1,0,0,0,1,0,0,1,0,1
202,360.0,1.0,5666.0,0,1,0,0,0,1,1,0,0,0,1,1
189,360.0,1.0,4403.0,0,1,1,0,0,0,1,0,0,0,1,1
299,240.0,1.0,10047.0,0,1,1,0,0,0,1,0,0,1,0,1
198,360.0,1.0,9508.0,1,0,1,0,0,0,1,0,1,0,0,1
256,300.0,1.0,17196.0,0,1,0,0,1,0,0,1,1,0,0,1
382,360.0,1.0,6500.0,0,1,0,1,0,0,1,0,0,1,0,1
64,180.0,1.0,7551.0,0,1,0,0,1,0,1,0,0,0,1,1
187,360.0,1.0,4592.0,0,1,0,1,0,0,1,0,0,1,0,1
39,360.0,1.0,3029.0,0,1,0,0,0,1,1,0,0,0,1,1
95,180.0,1.0,6950.0,1,0,1,0,0,0,0,1,0,1,0,1
114,360.0,1.0,8000.0,0,1,0,0,1,0,1,0,0,1,0,1
312,360.0,1.0,7085.0,1,0,1,0,0,0,0,1,0,1,0,1
9,360.0,1.0,11179.0,0,1,0,0,1,0,1,0,0,0,1,1
286,360.0,1.0,3798.0,0,1,1,0,0,0,1,0,1,0,0,1
12,240.0,1.0,3596.0,1,0,0,1,0,0,1,0,0,0,1,1
160,360.0,1.0,3463.0,1,0,1,0,0,0,0,1,0,0,1,1
297,360.0,1.0,4765.0,0,1,1,0,0,0,1,0,0,1,0,1
412,360.0,1.0,5703.0,0,1,0,0,0,1,1,0,0,0,1,1
133,360.0,1.0,5100.0,0,1,0,1,0,0,1,0,0,1,0,1
16,360.0,1.0,5052.0,0,1,1,0,0,0,1,0,0,1,0,1
31,360.0,1.0,6275.0,1,0,1,0,0,0,1,0,0,1,0,1
